state,park
Alabama,0
Alaska,1
Arizona,1
Arkansas,1
California,1
Colorado,1
Connecticut,0
Delaware,0
District of Columbia,0
Florida,1
Georgia,0
Hawaii,1
Idaho,1
Illinois,0
Indiana,1
Iowa,0
Kansas,0
Kentucky,1
Louisiana,0
Maine,1
Maryland,0
Massachusetts,0
Michigan,1
Minnesota,1
Mississippi,0
Missouri,1
Montana,1
Nebraska,0
Nevada,1
New Hampshire,0
New Jersey,0
New Mexico,1
New York,0
North Carolina,1
North Dakota,1
Ohio,1
Oklahoma,0
Oregon,1
Pennsylvania,0
Rhode Island,0
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Utah,1
Vermont,0
Virginia,1
Washington,1
West Virginia,1
Wisconsin,0
Wyoming,1
